R&D_Spend,Administration,Marketing_Spend,Profit,Total_Spend,ROI,State_California,State_Florida,State_New York,R&D_Spend_scaled,Administration_scaled,Marketing_Spend_scaled,Total_Spend_scaled,ROI_scaled,R&D_Marketing_Spend,R&D_Marketing_Spend_scaled
77044.01,99281.34,140574.81,108552.04,316900.16,0.342543342,FALSE,FALSE,TRUE,-0.097281588,-1.872749752,-0.932028412,-0.785077965,2.256690288,217618.82,-0.654260176
64664.71,139553.16,137962.62,107404.34,342180.49,0.313882127,TRUE,FALSE,FALSE,-0.36304985,1.31138544,-0.960529652,-0.61042857,1.258565345,202627.33,-0.763298141
75328.87,144135.98,134050.07,105733.54,353514.92,0.299092157,FALSE,TRUE,FALSE,-0.134103523,1.673731081,-1.003218938,-0.532124555,0.743505618,209378.94,-0.714191493
72107.6,127864.55,353183.81,105008.31,553155.96,0.189834907,FALSE,FALSE,TRUE,-0.203260206,0.387212794,1.387718656,0.847097431,-3.06137095,425291.41,0.856209877
66051.52,182645.56,118148.2,103282.38,366845.28,0.281542071,FALSE,TRUE,FALSE,-0.333276754,4.718532853,-1.176722018,-0.440031638,0.132325035,184199.72,-0.897328121
65605.48,153032.06,107138.38,101004.64,325775.92,0.310043296,FALSE,FALSE,TRUE,-0.342852681,2.377109309,-1.296848624,-0.723759695,1.12487831,172743.86,-0.980650303
61994.48,115641.28,91131.24,99937.59,268767,0.371837279,FALSE,TRUE,FALSE,-0.420376386,-0.579233326,-1.47150029,-1.11760635,3.27684971,153125.72,-1.123339394
61136.38,152701.92,88218.23,97483.56,302056.53,0.322732834,FALSE,FALSE,TRUE,-0.438798731,2.351006431,-1.503283735,-0.887625322,1.566790642,149354.61,-1.150767899
63408.86,129219.61,46085.25,97427.84,238713.72,0.408136742,TRUE,FALSE,FALSE,-0.390011396,0.494352085,-1.962990788,-1.325229715,4.540976126,109494.11,-1.440686234
55493.95,103057.49,214634.81,96778.92,373186.25,0.25933142,FALSE,TRUE,FALSE,-0.559934726,-1.574184351,-0.123970109,-0.396224988,-0.641159452,270128.76,-0.272338364
46426.07,157693.92,210797.67,96712.8,414917.66,0.233089139,TRUE,FALSE,FALSE,-0.754610895,2.745704334,-0.165836607,-0.107923153,-1.55504516,257223.74,-0.366200757
46014.02,85047.44,205517.64,96479.51,336579.1,0.286647359,FALSE,FALSE,TRUE,-0.763457099,-2.998168517,-0.223446276,-0.649125825,0.31011633,251531.66,-0.407601099
28663.76,127056.21,201126.82,90708.19,356846.79,0.254193655,FALSE,TRUE,FALSE,-1.135945724,0.323300514,-0.271353899,-0.5091063,-0.82008175,229790.58,-0.56573102
44069.95,51283.14,197029.42,89949.14,292382.51,0.307642,TRUE,FALSE,FALSE,-0.805193878,-5.667779571,-0.316060057,-0.954458379,1.041253317,241099.37,-0.483478526
20229.59,65947.93,185265.1,81229.06,271442.62,0.299249469,FALSE,FALSE,TRUE,-1.317016924,-4.508292021,-0.444418907,-1.099121804,0.748984007,205494.69,-0.742442903
38558.51,82982.09,174999.3,81005.76,296539.9,0.27316985,TRUE,FALSE,FALSE,-0.923517679,-3.161467658,-0.556427616,-0.925737011,-0.159237024,213557.81,-0.683797218
28754.33,118546.05,172795.67,78239.91,320096.05,0.244426353,TRUE,FALSE,FALSE,-1.134001298,-0.34956453,-0.580471114,-0.76299913,-1.160227429,201550,-0.771133911
27892.92,84710.77,164470.71,77798.83,277074.4,0.280786785,FALSE,TRUE,FALSE,-1.152494706,-3.024787696,-0.671303589,-1.0602146,0.106022239,192363.63,-0.837949358
23640.93,96189.63,148001.11,71498.49,267831.67,0.266953083,TRUE,FALSE,FALSE,-1.243779673,-2.117199161,-0.851001091,-1.124068086,-0.37573553,171642.04,-0.988664197
15505.73,127382.3,35534.17,69758.98,178422.2,0.39097702,FALSE,FALSE,TRUE,-1.418432356,0.349083174,-2.078112146,-1.741754243,3.943389917,51039.9,-1.865842648
22177.74,154806.14,28334.72,65200.33,205318.6,0.31755686,TRUE,FALSE,FALSE,-1.275192553,2.517378871,-2.156664338,-1.555940213,1.386537696,50512.46,-1.86967889
1000.23,124153.04,1903.93,64926.08,127057.2,0.510998826,FALSE,FALSE,TRUE,-1.729847502,0.093758224,-2.445046992,-2.096609824,8.123141424,2904.16,-2.215949486
1315.46,115816.21,297114.46,49490.75,414246.13,0.119471846,FALSE,TRUE,FALSE,-1.723079904,-0.565402295,0.775953819,-0.112562424,-5.511759898,298429.92,-0.066494855
0,135426.92,0,42559.73,135426.92,0.314263442,TRUE,FALSE,FALSE,-1.751321203,0.985139792,-2.465820506,-2.038787536,1.271844612,0,-2.237072382
542.05,51743.15,0,35673.41,52285.2,0.682285044,FALSE,FALSE,TRUE,-1.73968406,-5.631408381,-2.465820506,-2.613172883,14.08817273,542.05,-2.233129877
0,116983.8,45173.06,14681.4,162156.86,0.09053826,TRUE,FALSE,FALSE,-1.751321203,-0.473085524,-1.972943565,-1.854123496,-6.519370131,45173.06,-1.908514077
87151,123327.9523,236937.1317,123485.2464,447416.084,0.27599644,FALSE,FALSE,TRUE,0.119702988,0.028521769,0.119367405,0.116592512,-0.060801211,324088.1317,0.120125634
38772,116183.1212,143589.7191,82155.48418,298544.8403,0.275186415,TRUE,FALSE,FALSE,-0.918934312,-0.536392063,-0.899133161,-0.911885863,-0.089010296,182361.7191,-0.910696497
89939,123739.6968,242316.5853,125867.0108,455995.2821,0.276027002,FALSE,TRUE,FALSE,0.1795579,0.061076795,0.178061871,0.175861982,-0.059736881,332255.5853,0.179530171
65485,120128.2187,195132.5255,104976.1696,380745.7442,0.275711997,FALSE,FALSE,TRUE,-0.345439238,-0.224468644,-0.336756808,-0.344000152,-0.070706911,260617.5255,-0.341516655
47724,117505.1933,160862.6275,89803.10053,326091.8208,0.275392067,FALSE,TRUE,FALSE,-0.726745943,-0.431860996,-0.710670872,-0.721577291,-0.081848466,208586.6275,-0.719954239
30744,114997.5096,128099.6711,75297.23305,273841.1807,0.2749668,FALSE,FALSE,TRUE,-1.091285544,-0.630133732,-1.068142908,-1.082551325,-0.096658373,158843.6711,-1.081750882
76381,121737.3896,216156.3873,114284.5283,414274.7769,0.275866489,TRUE,FALSE,FALSE,-0.111515593,-0.097237799,-0.107368391,-0.112364517,-0.065326738,292537.3873,-0.109353155
143923,131712.2998,346478.8607,171985.0761,622114.1605,0.276452598,FALSE,TRUE,FALSE,1.338527619,0.691439311,1.314561892,1.323495802,-0.04491553,490401.8607,1.329779287
27280,114485.9303,121415.8737,72337.96774,263181.804,0.274859305,FALSE,FALSE,TRUE,-1.16565334,-0.670582305,-1.141068887,-1.156191729,-0.100401864,148695.8737,-1.155559102
141092,131294.2049,341016.4385,169566.5772,613402.6434,0.276436007,TRUE,FALSE,FALSE,1.27774955,0.658382184,1.254962167,1.263312205,-0.045493334,482108.4385,1.269458539
128338,129410.636,316407.5606,158670.9451,574156.1966,0.276355016,FALSE,TRUE,FALSE,1.003936943,0.509455763,0.986458141,0.992177762,-0.048313815,444745.5606,0.997706219
76660,121778.5936,216694.7185,114522.8756,415133.3121,0.275870118,TRUE,FALSE,FALSE,-0.105525808,-0.09397996,-0.101494735,-0.106433318,-0.065200384,293354.7185,-0.10340844
43088,116820.5277,151917.4528,85842.60573,311825.9805,0.275290101,FALSE,TRUE,FALSE,-0.82627513,-0.485994825,-0.808270423,-0.820132982,-0.085399415,195005.4528,-0.818734524
60955,119459.2077,186391.8781,101106.2297,366806.0858,0.275639455,TRUE,FALSE,FALSE,-0.442692736,-0.277364725,-0.432124789,-0.440302412,-0.07323318,247346.8781,-0.438038374
12052,112236.9898,92033.40609,59328.81874,216322.3959,0.274261102,FALSE,TRUE,FALSE,-1.492579668,-0.848397228,-1.461656882,-1.479920386,-0.121234235,104085.4061,-1.480025491
126549,129146.4284,312955.6803,157142.6178,568651.1087,0.276342762,FALSE,FALSE,TRUE,0.965529325,0.488565902,0.948795158,0.95414581,-0.048740584,439504.6803,0.959587598
22986,113851.7728,113130.5889,68669.64059,249968.3617,0.274713328,TRUE,FALSE,FALSE,-1.25784021,-0.720722656,-1.231468471,-1.247476918,-0.105485496,136116.5889,-1.247052317
150633,132703.2632,359425.824,177717.3712,642762.0872,0.276490127,FALSE,FALSE,TRUE,1.482583021,0.769790909,1.455824398,1.466142196,-0.043608591,510058.824,1.472750751
53116,118301.5084,171266.5062,94409.4396,342684.0146,0.275499981,FALSE,TRUE,FALSE,-0.610986371,-0.368899478,-0.597155607,-0.606949966,-0.078090356,224382.5062,-0.605065694
157923,133779.8836,373491.8989,183945.1553,665194.7825,0.276528259,FALSE,FALSE,TRUE,1.639090305,0.85491507,1.609297374,1.621118681,-0.04228064,531414.8989,1.628080405
39157,116239.9797,144332.5776,82484.38635,299729.5573,0.275196037,TRUE,FALSE,FALSE,-0.910668838,-0.531896484,-0.891027935,-0.903701234,-0.088675193,183489.5776,-0.902493217
111768,126963.503,284435.7004,144515.3371,523167.2034,0.276231645,FALSE,FALSE,TRUE,0.648199535,0.315970534,0.637617646,0.639919827,-0.052610221,396203.7004,0.644645538
65903,120189.9508,195939.0576,105333.2634,382032.0084,0.275718424,FALSE,TRUE,FALSE,-0.336465295,-0.219587728,-0.327956849,-0.335113984,-0.07048309,261842.0576,-0.332610236
85800,123128.4304,234330.3735,122331.0988,443258.8039,0.275981205,FALSE,TRUE,FALSE,0.090698689,0.012746353,0.090925431,0.087871904,-0.061331773,320130.3735,0.091339576
139796,131102.8057,338515.8029,168459.4156,609414.6086,0.276428253,FALSE,FALSE,TRUE,1.249926033,0.643248998,1.227678081,1.23576083,-0.045763354,478311.8029,1.241844378
13947,112516.8521,95689.81377,60947.70089,222153.6659,0.274349292,TRUE,FALSE,FALSE,-1.451896362,-0.826269611,-1.421762329,-1.439635003,-0.118163042,109636.8138,-1.439648303
133094,130113.0238,325584.2756,162733.9549,588791.2994,0.27638648,FALSE,TRUE,FALSE,1.106042381,0.564990817,1.086583995,1.093284506,-0.047218083,458678.2756,1.099043371
155148,133370.059,368137.5289,181574.4968,656655.5879,0.276514051,FALSE,FALSE,TRUE,1.579514487,0.822511843,1.550876592,1.562125575,-0.042775439,523285.5289,1.568952863
28731,114700.2205,124215.5821,73577.54452,267646.8026,0.274905375,FALSE,TRUE,FALSE,-1.134502165,-0.653639217,-1.11052166,-1.125345244,-0.098797495,152946.5821,-1.124642322
41847,116637.2512,149522.94,84782.43014,308007.1912,0.275261204,FALSE,FALSE,TRUE,-0.852917865,-0.500485781,-0.834396617,-0.846515123,-0.086405775,191369.94,-0.845176787
140277,131173.8419,339443.8938,168870.3298,610894.7357,0.276431143,FALSE,TRUE,FALSE,1.260252508,0.648865552,1.237804351,1.245986301,-0.045662723,479720.8938,1.252093153
27595,114532.4509,122023.667,72607.06952,264151.1179,0.274869439,FALSE,FALSE,TRUE,-1.15889068,-0.666904103,-1.134437339,-1.149495214,-0.100048957,149618.667,-1.148847327
9078,111797.776,86295.06497,56788.15621,207170.841,0.274112689,TRUE,FALSE,FALSE,-1.55642777,-0.883124144,-1.52426712,-1.543143989,-0.126402733,95373.06497,-1.543393171
21586,113645.0144,110429.2851,67473.63267,245660.2995,0.27466234,FALSE,TRUE,FALSE,-1.287896479,-0.737070234,-1.260942019,-1.277239206,-0.107261163,132015.2851,-1.276882429
4330,111096.5697,77133.786,52731.98078,192560.3557,0.273846507,TRUE,FALSE,FALSE,-1.658361458,-0.938565782,-1.624224553,-1.644080662,-0.135672491,81463.786,-1.644559865
106761,126224.0464,274774.6802,140237.9002,507759.7266,0.276189491,FALSE,FALSE,TRUE,0.540705437,0.257504595,0.532207605,0.53347713,-0.054078241,381535.6802,0.537960273
137618,130781.1487,334313.346,166598.769,602712.4947,0.276414991,FALSE,TRUE,FALSE,1.203167066,0.617816838,1.181825662,1.189459213,-0.04622519,471931.346,1.195437247
63161,119784.9998,190648.3612,102990.7964,373594.361,0.275675458,TRUE,FALSE,FALSE,-0.395332644,-0.251605619,-0.385682897,-0.393405549,-0.071979406,253809.3612,-0.39103464
34384,115535.0813,135123.0611,78406.85364,285042.1424,0.275071093,FALSE,FALSE,TRUE,-1.013139246,-0.587630041,-0.991511682,-1.005169377,-0.093026364,169507.0611,-1.004192591
73431,121301.7202,210464.3542,111764.3688,405197.0744,0.275827186,TRUE,FALSE,FALSE,-0.174848445,-0.131684473,-0.169473369,-0.175077909,-0.066695473,283895.3542,-0.172209463
17125,112986.1936,101821.7734,63662.63887,231932.967,0.274487235,TRUE,FALSE,FALSE,-1.383668632,-0.789160616,-1.354857375,-1.37207461,-0.11335917,118946.7734,-1.37193395
109497,126628.1113,280053.7997,142575.2414,516178.911,0.276212837,FALSE,TRUE,FALSE,0.599443973,0.289452425,0.58980734,0.591641144,-0.053265202,389550.7997,0.596256835
78366,122030.5434,219986.4502,115980.2967,420382.9936,0.275891981,TRUE,FALSE,FALSE,-0.068900098,-0.074059275,-0.065579111,-0.070165845,-0.064439006,298352.4502,-0.067058318
98190,124958.2421,258236.9123,132915.7689,481385.1544,0.276111068,FALSE,FALSE,TRUE,0.356696666,0.157422403,0.351766332,0.351268152,-0.056809315,356426.9123,0.355336066
125158,128940.9992,310271.742,155954.2985,564370.7412,0.276333068,TRUE,FALSE,FALSE,0.935666275,0.472323419,0.919511083,0.924574852,-0.049078159,435429.742,0.929949251
138570,130921.7444,336150.2326,167412.0544,605641.977,0.276420824,FALSE,FALSE,TRUE,1.223605329,0.62893319,1.201867675,1.209697569,-0.046022064,474720.2326,1.215721723
46445,117316.3048,158394.7935,88710.46186,322156.0983,0.275364838,FALSE,TRUE,FALSE,-0.754204491,-0.44679567,-0.737597064,-0.748767267,-0.082796706,204839.7935,-0.747206177
134739,130355.9649,328758.3076,164139.2642,593853.2725,0.276397002,TRUE,FALSE,FALSE,1.141358497,0.584199219,1.121215415,1.128255194,-0.046851664,463497.3076,1.134093752
96620,124726.3773,255207.593,131574.5314,476553.9703,0.276095762,FALSE,FALSE,TRUE,0.322990708,0.139089761,0.318713853,0.317891871,-0.057342343,351827.593,0.321883727
140797,131250.6379,340447.2352,169314.5613,612494.8731,0.276434251,TRUE,FALSE,FALSE,1.271416265,0.654937512,1.248751669,1.257040866,-0.045554484,481244.2352,1.263172908
44017,116957.7267,153709.9609,86636.24242,314684.6876,0.275311275,FALSE,FALSE,TRUE,-0.806330649,-0.475147037,-0.788712617,-0.800383577,-0.084662055,197726.9609,-0.798940114
150342,132660.287,358864.3387,177468.7724,641866.6257,0.27648855,TRUE,FALSE,FALSE,1.476335611,0.766392949,1.44969811,1.459955892,-0.043663527,509206.3387,1.466550349
127529,129291.1592,314846.5929,157979.8234,571666.7521,0.276349504,FALSE,TRUE,FALSE,0.986568713,0.5000092,0.969426641,0.974979411,-0.048505782,442375.5929,0.980468676
9261,111824.8023,86648.16397,56944.49153,207733.9663,0.274122198,FALSE,FALSE,TRUE,-1.552498986,-0.880987281,-1.520414506,-1.539253632,-0.126071551,95909.16397,-1.539493949
57905,119008.7698,180506.8948,98500.64098,357420.6646,0.275587426,FALSE,TRUE,FALSE,-0.508172464,-0.312979087,-0.496335019,-0.505141682,-0.075045096,238411.8948,-0.503025404
44699,117058.4475,155025.8817,87218.86913,316783.3292,0.275326575,FALSE,FALSE,TRUE,-0.791688952,-0.467183438,-0.77435479,-0.785885092,-0.084129208,199724.8817,-0.784408588
151853,132883.4384,361779.8174,178759.6067,646516.2558,0.276496693,TRUE,FALSE,FALSE,1.508774912,0.784036657,1.48150849,1.492077905,-0.043379935,513632.8174,1.498745564
61613,119556.3841,187661.4909,101668.3534,368830.875,0.275650333,FALSE,TRUE,FALSE,-0.428566289,-0.269681367,-0.418272221,-0.426314137,-0.072854377,249274.4909,-0.424018222
120275,128219.8555,300849.9801,151782.7938,549344.8356,0.276297844,FALSE,FALSE,TRUE,0.830834304,0.415305409,0.816711556,0.820768243,-0.050304831,421124.9801,0.825906082
23224,113886.9217,113589.8106,68872.96194,250700.7323,0.274721822,TRUE,FALSE,FALSE,-1.252730644,-0.71794357,-1.226457967,-1.242417329,-0.105189703,136813.8106,-1.241981197
105331,126012.8575,272015.4913,139016.2635,503359.3488,0.276176977,FALSE,TRUE,FALSE,0.510005105,0.240806715,0.502102481,0.503077079,-0.054514009,377346.4913,0.507490944
23501,113927.8303,114124.2829,69109.60065,251553.1132,0.274731645,TRUE,FALSE,FALSE,-1.246783797,-0.714709087,-1.220626414,-1.236528647,-0.104847608,137625.2829,-1.236079096
7092,111504.4745,82463.07255,55091.53354,201059.5471,0.274006056,FALSE,TRUE,FALSE,-1.599064734,-0.906314346,-1.566077453,-1.58536392,-0.130116199,89555.07255,-1.585709316
102136,125541.0053,265850.7301,136286.8026,493527.7354,0.276148214,TRUE,FALSE,FALSE,0.441412406,0.203499208,0.434839634,0.435155286,-0.055515699,367986.7301,0.439414368
85772,123124.2953,234276.3474,122307.1786,443172.6427,0.275980886,FALSE,TRUE,FALSE,0.090097564,0.012419407,0.090335959,0.087276658,-0.061342878,320048.3474,0.090742974
123288,128664.829,306663.5719,154356.7737,558616.4009,0.276319803,FALSE,FALSE,TRUE,0.895519688,0.450487722,0.880142843,0.884820938,-0.049540127,429951.5719,0.890104745
76992,121827.6249,217335.3134,114806.5004,416154.9383,0.275874416,TRUE,FALSE,FALSE,-0.098398178,-0.090103247,-0.094505294,-0.099375404,-0.065050705,294327.3134,-0.096334442
7715,111596.4819,83665.15275,55623.75707,202976.6347,0.274040198,FALSE,FALSE,TRUE,-1.585689694,-0.899039681,-1.552961724,-1.572119702,-0.128927225,91380.15275,-1.572434916
29104,114755.3069,124935.2867,73896.1952,268794.5936,0.27491697,FALSE,TRUE,FALSE,-1.126494316,-0.649283751,-1.102669064,-1.117415719,-0.098393688,154039.2867,-1.116694727
144996,131870.7654,348549.2171,172901.7308,625415.9825,0.276458766,FALSE,FALSE,TRUE,1.361563602,0.703968566,1.337151261,1.34630647,-0.044700738,493545.2171,1.352641936
94169,124364.4025,250478.3818,129480.6633,469011.7843,0.276071237,TRUE,FALSE,FALSE,0.270370769,0.11046983,0.267114091,0.265786609,-0.058196424,344647.3818,0.269659723
78261,122015.0366,219783.8524,115890.5961,420059.889,0.275890651,FALSE,FALSE,TRUE,-0.071154318,-0.075285337,-0.067789627,-0.072398016,-0.064485319,298044.8524,-0.069295576
140902,131266.1448,340649.833,169404.2619,612817.9778,0.276434876,FALSE,TRUE,FALSE,1.273670485,0.656163582,1.250962185,1.259273037,-0.045532697,481551.833,1.265410167
131845,129928.5658,323174.3267,161666.9449,584947.8925,0.27637837,FALSE,TRUE,FALSE,1.079227896,0.550406445,1.06028938,1.066732293,-0.047500535,455019.3267,1.07243065
1269,110644.5073,71227.57814,50116.99489,183141.0854,0.273652385,FALSE,FALSE,TRUE,-1.724077343,-0.974308587,-1.688666361,-1.709153779,-0.142432761,72496.57814,-1.709781274
43990,116953.7392,153657.8643,86613.17655,314601.6035,0.275310665,TRUE,FALSE,FALSE,-0.806910305,-0.475462313,-0.789281036,-0.800957564,-0.084683295,197647.8643,-0.799515409
49875,117822.8628,165012.9879,91640.68127,332710.8507,0.275436407,FALSE,TRUE,FALSE,-0.680566633,-0.406744112,-0.66538687,-0.675849661,-0.080304327,214887.9879,-0.674122403
105070,125974.3118,271511.8911,138793.2935,502556.2029,0.27617467,FALSE,FALSE,TRUE,0.504401758,0.237759057,0.49660777,0.497528538,-0.054594364,376581.8911,0.501929759
93591,124279.0408,249363.1293,128986.8828,467233.1701,0.276065338,FALSE,TRUE,FALSE,0.257961824,0.103720614,0.254945727,0.253499036,-0.058401861,342954.1293,0.257344149
73077,121249.4398,209781.3102,111461.9497,404107.75,0.275822351,FALSE,FALSE,TRUE,-0.182448387,-0.135818079,-0.176925966,-0.182603517,-0.066863847,282858.3102,-0.17975222
94548,124420.3749,251209.6634,129804.4397,470178.0383,0.27607508,FALSE,TRUE,FALSE,0.27850743,0.114895348,0.275093002,0.273843686,-0.058062568,345757.6634,0.277735161
151956,132898.6499,361978.5561,178847.5987,646833.206,0.276497244,FALSE,FALSE,TRUE,1.510986195,0.785239371,1.483676901,1.494267558,-0.043360751,513934.5561,1.500940207
60864,119445.7684,186216.2934,101028.4891,366526.0618,0.275637941,TRUE,FALSE,FALSE,-0.444646393,-0.278427318,-0.434040569,-0.44223696,-0.073285907,247080.2934,-0.439977331
102790,125637.591,267112.6249,136845.5092,495540.2159,0.276154195,FALSE,TRUE,FALSE,0.455452978,0.211135862,0.448607991,0.449058526,-0.05530742,369902.6249,0.453349292
53315,118330.8977,171650.4773,94579.44358,343296.375,0.275503764,TRUE,FALSE,FALSE,-0.606714087,-0.366575781,-0.592966152,-0.602719468,-0.077958612,224965.4773,-0.600825556
116723,127695.2799,293996.3864,148748.3508,538414.6663,0.276270986,FALSE,FALSE,TRUE,0.754577257,0.37382927,0.741932954,0.745257066,-0.051240162,410719.3864,0.750222826
49288,117736.1719,163880.3698,91139.21223,330904.5417,0.275424483,FALSE,TRUE,FALSE,-0.693168797,-0.413598422,-0.677744708,-0.688328564,-0.080719587,213168.3698,-0.686629742
145513,131947.1183,349546.77,173343.3994,627006.8883,0.276461715,TRUE,FALSE,FALSE,1.372662953,0.710005491,1.348035421,1.357297258,-0.044598056,495059.77,1.36365777
148513,132390.1719,355335.2782,175906.2735,636238.4501,0.276478533,FALSE,FALSE,TRUE,1.437069243,0.745036005,1.411193024,1.421073589,-0.044012346,503848.2782,1.427579439
74741,121495.1869,212992.0028,112883.4905,409228.1897,0.275844855,TRUE,FALSE,FALSE,-0.146724365,-0.116387818,-0.141894548,-0.147228912,-0.066080163,287733.0028,-0.144297001
104234,125850.8475,269898.8268,138079.1059,499983.6743,0.276167229,TRUE,FALSE,FALSE,0.486453872,0.227997218,0.479007851,0.4797562,-0.054853495,374132.8268,0.484116921
34715,115583.9649,135761.7265,78689.62408,286060.6914,0.275080172,FALSE,TRUE,FALSE,-1.006033085,-0.583765006,-0.984543293,-0.998132722,-0.092710199,170476.7265,-0.9971399
107457,126326.8348,276117.6141,140832.487,509901.4489,0.276195503,TRUE,FALSE,FALSE,0.555647696,0.265631671,0.546860169,0.548273238,-0.053868868,383574.6141,0.5527901
156016,133498.2492,369812.3372,182316.0217,659326.5864,0.276518535,FALSE,FALSE,TRUE,1.598149374,0.83264734,1.569150191,1.580578193,-0.042619292,525828.3372,1.587447532
93879,124321.5739,249918.826,129232.9188,468119.3999,0.276068283,TRUE,FALSE,FALSE,0.264144828,0.10708354,0.261008856,0.259621563,-0.058299297,343797.826,0.263480629
121139,128347.4549,302517.0705,152520.9015,552003.5254,0.276304216,FALSE,FALSE,TRUE,0.849383316,0.425394194,0.834900946,0.839135826,-0.050082922,423656.0705,0.844315523
99283,125119.6613,260345.8588,133849.5093,484748.5201,0.276121543,FALSE,TRUE,FALSE,0.380162025,0.170185187,0.374776753,0.374503995,-0.056444512,359628.8588,0.378624861
140934,131270.8707,340711.577,169431.5992,612916.4477,0.276435067,TRUE,FALSE,FALSE,1.274357485,0.65653724,1.251635866,1.259953318,-0.045526061,481645.577,1.266091997
70585,120881.4099,204972.9894,109333.0556,396439.3993,0.275787562,FALSE,FALSE,TRUE,-0.235948545,-0.164916763,-0.229388882,-0.235580389,-0.068075359,275557.9894,-0.232849819
